input_text,target_text,corrected_text
"mary claimed that would eat cabbage, holly.",Mary claimed that Holly would eat cabbage.  ,"mary claimed that would eat cabbage, holly."
"the louder who talks, the angrier you get?","The louder someone talks, the angrier you get.  ","the louder who talks, the angrier you get?"
the maple changed into an oak from a cedar.,The maple tree changed into an oak instead of a cedar.  ,the maple changed into an oak from a cedar.
"my uncle didn't buy anything for christmas, but my aunt did it for him and it was bright red.","My uncle didn’t buy anything for Christmas, but my aunt did, and it was bright red.  ","my uncle did't buy anything for christmas, but my aunt did it for him and it was bright red."
"clearly, john perfectly will immediately learn french probably.","Clearly, John will immediately learn French perfectly.  ","clearly, john perfectly will immediately learn french probably."
my mother is easy to please my father and.,"My mother is easy to please, and so is my father.  ",my mother is easy to please my father and.
the kids were failed by max as a father.,Max failed the kids as a father.  ,the kids were failed by max as a father.
"you get angrier, the more we eat, don't we.","The more we eat, the angrier you seem to get, don’t you?  ","you get angrier, the more we eat, don't we."
us love they.,We love them.  ,us love they.
"the harder it has rained, how much faster a flow that appears in the river?","The harder it rains, the faster the river flows.  ","the harder it has rained, how much faster a flow that appears in the river?"
$10 was cost by this book.,This book cost $10.  ,$10 was cost by this book.
we proclaimed sincerely john to be a hero.,We sincerely proclaimed John to be a hero.  ,we proclaimed sincerely john to be a hero.
the fatter he goes to a doctor when he gets the more he eats.,"The fatter he gets, the more often he goes to the doctor.  ",the fatter he goes to a doctor when he gets the more he eats.
mickey looked up it.,Mickey looked it up.  ,mickey looked up it.
kim depends for sandy.,Kim depends on Sandy.  ,kim depends for sandy.
us love their.,We love their actions.  ,us love their.
we proved to the authorities smith to be the thief.,We proved to the authorities that Smith was the thief.  ,we proved to the authorities smith to be the thief.
we love they.,We love them.  ,we love they.
john spoke intimately french to mary.,John spoke French to Mary intimately.  ,john spoke intimately french to mary.
they tried all to like john.,They all tried to like John.  ,they tried all to like john.
marianne not left.,Marianne has not left.  ,marianne not left.
the cup filled water.,The cup was filled with water.  ,the cup filled water.
they have no in.,They have none in. ? They have nothing to add.  ,they have no in.
"although i don't know which book sam did, i do know which book sally read.","Although I don’t know which book Sam read, I do know which book Sally read.  ","although i don't know which book sam did, i do know which book sally read."
john perfectly learned french.,John learned French perfectly.  ,john perfectly learned french.
"i did not, as bill had thought, go to the store.","I did not go to the store, as Bill had thought.  ","i did not, as bill had thought, go to the store."
i hit that you knew the answer.,I hit upon the fact that you knew the answer.  ,i hit that you knew the answer.
they made him to exhaustion.,They exhausted him.  ,they made him to exhaustion.
the box gradually contained the ball.,The box slowly came to contain the ball.  ,the box gradually contained the ball.
any man didn't eat dinner.,No man ate dinner.  ,any man did't eat dinner.
what the hell do you wonder how to say?,What do you wonder is the proper way to say this?  ,what the hell do you wonder how to say?
fed knows which politician her to vote for.,Fred knows which politician she should vote for.  ,fed knows which politician her to vote for.
neither of students failed.,Neither of the students failed.  ,neither of students failed.
"it is important for the more you eat, the more careful to be.","It is important that as you eat more, you remain careful.  ","it is important for the more you eat, the more careful to be."
he hit the ball.,He hit the ball.  ,he hit the ball.
john wagered a stranger to have been in that haunted house.,John wagered that a stranger had been in the haunted house.  ,john wagered a stranger to have been in that haunted house.
"it is important for the more you eat, the more careful you to be.","It is important that the more you eat, the more careful you should be.  ","it is important for the more you eat, the more careful you to be."
that fred was unpopular nominated bill.,Fred’s unpopularity caused Bill’s nomination.  ,that fred was unpopular nominated bill.
"the fatter that that he gets bothers him, the more he eats.","The more he eats, the more he gets bothered by his weight.  ","the fatter that that he gets bothers him, the more he eats."
i saw bill while you did so mary.,I saw Bill while you saw Mary.  ,i saw bill while you did so mary.
any trouble is what i don't want.,I don’t want any trouble.  ,any trouble is what i don't want.
"bill seems to be obnoxious, but i don't think that sam happens.","Bill seems obnoxious, but I don't think that Sam is the same way.  ","bill seems to be obnoxious, but i don't think that sam happens."
john to love mary would be doubtful.,It would be doubtful for John to love Mary.  ,john to love mary would be doubtful.
i aren't going.,I am not going.  ,i are't going.
the men were promised to leave.,The men were promised they could leave.  ,the men were promised to leave.
water emptied the cup.,Water filled the cup.  ,water emptied the cup.
a proof that god does exists.,A proof that God does exist exists.  ,a proof that god does exists.
"i demand that john pays more, the more he eat.",I demand that John pay more as he eats more.  ,"i demand that john pays more, the more he eat."
the jeweller scribbled the contract with his name.,The jeweller signed the contract.  ,the jeweler scribbled the contract with his name.
"the candidate was dogged by charges of infidelity, or at least trying to.","The candidate was dogged by charges of infidelity, or at least by attempts to discredit them.  ","the candidate was dogged by charges of infidelity, or at least trying to."
john will rain tomorrow.,It will rain tomorrow.  ,john will rain tomorrow.
my heart is pounding me.,My heart is pounding.  ,my heart is pounding me.
lilly recounted a story to be remembered because holly had recounted a story to be.,Lilly recounted a story to be remembered because Holly had also recounted a memorable story.  ,lilly recounted a story to be remembered because holly had recounted a story to be.
cynthia chewed.,Cynthia chewed thoughtfully.  ,cynthia chewed.
max failed the kids all as a father.,Max failed all the kids as a father.  ,max failed the kids all as a father.
mary believed he to have loved her.,Mary believed him to have loved her.  ,mary believed he to have loved her.
the kennel which mary made and fido sleeps has been stolen.,The kennel that Mary made and where Fido sleeps has been stolen.  ,the kennel which mary made and fido sleeps has been stolen.
this building is than that one.,This building is taller than that one.  ,this building is than that one.
the more carefully he knows a man that worded the letter the safer he'll be.,"The more carefully he knows a man who worded the letter, the safer he’ll be.  ",the more carefully he knows a man that worded the letter the safer he'll be.
the writers so believed the boy.,The writers believed the boy in such a way.  ,the writers so believed the boy.
the panther's the coat is dark black.,The panther's coat is jet black.  ,the panther's the coat is dark black.
there presented itself a wonderful opportunity yesterday.,A wonderful opportunity presented itself yesterday.  ,there presented itself a wonderful opportunity yesterday.
dry the baby with the cloth torn.,Dry the baby with the torn cloth.  ,dry the baby with the cloth torn.
mary beautifully plays the violin.,Mary plays the violin beautifully.  ,mary beautifully plays the violin.
the building's the roof is leaking.,The roof of the building is leaking.  ,the building's the roof is leaking.
"sally made bill laugh, and then josã© made.","Sally made Bill laugh, and then José did as well.  ","sally made bill laugh, and then jose© made."
i inquired when could we leave.,I inquired when we could leave.  ,i inquired when could we leave.
herman whipped the sugar and the cream.,Herman whipped the sugar and cream together.  ,herman whipped the sugar and the cream.
the more people i ask what he will give to the more he reads.,"The more people I ask, the more I wonder what he will give them.  ",the more people i ask what he will give to the more he reads.
there is strangers in that garden.,There are strangers in that garden.  ,there is strangers in that garden.
"the more you would want, the less you would eat.","The more you desire, the less you eat.  ","the more you would want, the less you would eat."
i can't remember the name of somebody who had misgivings.,I can’t remember the name of someone who had misgivings.  ,i can't remember the name of somebody who had misgivings.
john thinks that mary loves himself.,John thinks that Mary loves him.  ,john thinks that mary loves himself.
"i know which book josã© didn't read for class, and which book lilly did it for him.",I know which book José didn’t read for class and which one Lilly read for him.  ,"i know which book jose© did't read for class, and which book lilly did it for him."
harry coughed us into a fit.,Harry’s coughing fit affected us all.  ,harry coughed us into a fit.
john seems will win.,John seems like he will win.  ,john seems will win.
who do you think that believes john to be innocent?,Who do you think believes that John is innocent?  ,who do you think that believes john to be innocent?
john offers many advice.,John gave a lot of advice.  ,john offers many advice.
in general that he understands what's going on is surprising.,"That he understands what is going on is, in general, surprising.  ",in general that he understands what's going on is surprising.
john seems that it is likely to win.,John seems likely to win.  ,john seems that it is likely to win.
i can well imagine with a hatchet mary destroying the jeep.,I can easily imagine Mary destroying the Jeep with a hatchet.  ,i can well imagine with a hatchet mary destroying the jeep.
headway was unmade.,Progress was undone.  ,headway was unmade.
i live at the place where route 150 crosses the hudson river and my dad lives at it too.,"I live where Route 150 crosses the Hudson River, and my dad lives there too.  ",i live at the place where route 150 crosses the hudson river and my dad lives at it too.
kim and terry is happy.,Kim and Terry are happy.  ,kim and terry is happy.
"mary claimed that hasn't eaten cabbage, holly.",Mary claimed that Holly hasn’t eaten cabbage.  ,"mary claimed that has't eaten cabbage, holly."
jack is the person with whom jenny fell in love with.,Jack is the person with whom Jenny fell in love.  ,jack is the person with whom jenny fell in love with.
mary thinks that john said that susan likes pictures of himself?,Mary thinks that John said that Susan likes pictures of himself.  ,mary thinks that john said that susan likes pictures of himself?
"i know which book mag read, and which book bob discussed after i had.","I know which book Mag read, and which book Bob discussed after I had discussed it.  ","i know which book mag read, and which book bob discussed after i had."
"i finally worked up enough courage to ask which people up at corporate headquarters the sooner i solve this problem, the quicker i'll get free of.",I finally worked up enough courage to ask which people up at corporate headquarters will be satisfied the sooner I solve this problem.  ,"i finally worked up enough courage to ask which people up at corporate headquarters the sooner i solve this problem, the quicker i'll get free of."
10 lb was weighed by the package.,The package weighed 10 lbs.  ,10 lb was weighed by the package.
"the more pictures mary looked at, she got angrier and angrier.","The more pictures Mary looked at, the angrier she became.  ","the more pictures mary looked at, she got angrier and angrier."
lilly recounted a story to remember because holly had also recounted a story to.,Lilly recounted a story to remember because Holly had also recounted a memorable story.  ,lilly recounted a story to remember because holly had also recounted a story to.
"no writer, and no playwright, meets in vienna.",No writer or playwright meets in Vienna.  ,"no writer, and no playwright, meets in vienna."
truman told the story bob.,Truman told Bob the story.  ,truman told the story bob.
the bookcase ran,The bookcase toppled over.  ,the bookcase ran
mickey slips all the time up.,Mickey frequently slips up.  ,mickey slips all the time up.
lora buttered at the toast.,Lora spread butter on the toast.  ,lora buttered at the toast.
marianne left not.,Marianne did not leave.  ,marianne left not.
the mayor regarded as being absurd the proposal to build a sidewalk from dartmouth to smith.,The mayor regarded the proposal to build a sidewalk from Dartmouth to Smith as absurd.  ,the mayor regarded as being absurd the proposal to build a sidewalk from dartmouth to smith.
the lions ate at the meat raw.,The lions ate the meat raw.  ,the lions ate at the meat raw.
"they failed to tell me which problem i'll beat the competition more easily, the sooner i solve.",They failed to tell me which problem I will beat the competition more easily by solving.  ,"they failed to tell me which problem i'll beat the competition more easily, the sooner i solve."
"we wanted to invite someone, but we couldn't decide who to.",We wanted to invite someone but couldn’t decide who.  ,"we wanted to invite someone, but we could't decide who to."
mary desired john to go abroad.,Mary desired John to go abroad.  ,mary desired john to go abroad.
mickey pointed that gary had left out.,Mickey pointed out that Gary had left.  ,mickey pointed that gary had left out.
i gave mary after the party a book.,I gave Mary a book after the party.  ,i gave mary after the party a book.
mary revealed himself to john.,Mary revealed herself to John.  ,mary revealed himself to john.
"the harder it rains, how much faster that do you run?","The harder it rains, the faster you must run.  ","the harder it rains, how much faster that do you run?"
how do you wonder whether john said that mary solved the problem?,How do you wonder whether John said that Mary solved the problem?  ,how do you wonder whether john said that mary solved the problem?
"sally started running down the street, but only after josã© started.","Sally started running down the street, but only after José started.  ","sally started running down the street, but only after jose© started."
mary came to be introduced by the bartender and i also came to be.,"Mary was introduced by the bartender, and I was also introduced.  ",mary came to be introduced by the bartender and i also came to be.
how intelligent do you wonder whether i consider john?,How intelligent do you wonder whether I consider John?,how intelligent do you wonder whether i consider john?
"when bill smokes, all the more susan hates him.","When Bill smokes, Susan hates him even more.  ","when bill smokes, all the more susan hates him."
"because she's so pleasant, as for mary i really like her.",Mary is so pleasant that I really like her.  ,"because she's so pleasant, as for mary i really like her."
"i know which book mag read, and which book bob asked why you hadn't.","I know which book Mag read, and which book Bob asked why you hadn’t read.  ","i know which book mag read, and which book bob asked why you had't."
mary managed john to go abroad.,Mary managed to convince John to go abroad.  ,mary managed john to go abroad.
"the more everyone eat, the more john keeps his big mouth shut about it, ok?","The more everyone eats, the more John refrains from talking about it, okay?  ","the more everyone eat, the more john keeps his big mouth shut about it, ok?"
which girl did mike quip never wore this hat?,Which girl did Mike joke never wore this hat?  ,which girl did mike quip never wore this hat?
how do you wonder whether mary solved the problem?,How do you wonder whether Mary solved the problem?  ,how do you wonder whether mary solved the problem?
i explained to fix the sink.,I explained how to fix the sink.  ,i explained to fix the sink.
john is being discussed and sally is being too.,"John is being discussed, and so is Sally.  ",john is being discussed and sally is being too.
i won't have some money.,I don’t have any money.  ,i won't have some money.
john is wanted to win.,John is wanted to succeed.  ,john is wanted to win.
she yelled hoarse.,She yelled until she was hoarse.  ,she yelled hoarse.
the farmer dumped the cart with apples.,The farmer dumped the cart full of apples.  ,the farmer dumped the cart with apples.
the box contained the ball from the tree.,The box contained the ball that fell from the tree.  ,the box contained the ball from the tree.
a pound was weighed by the book.,A pound was measured by the book.  ,a pound was weighed by the book.
this building is taller and taller.,This building is getting taller and taller.  ,this building is taller and taller.
you should sit before there.,You should sit down before that.  ,you should sit before there.
mary runs often the marathon.,Mary often runs the marathon.  ,mary runs often the marathon.
"every student, and he wears socks, is a swinger.",Every student who wears socks is a swinger.  ,"every student, and he wears socks, is a swinger."
what the stone did to the whole wall was hit it.,What the stone did to the entire wall was hit it.  ,what the stone did to the whole wall was hit it.
a proof that the claim had been made was given that john had lied.,Proof was provided that the claim had been made that John had lied.  ,a proof that the claim had been made was given that john had lied.
she hit the ball.,She hit the ball.  ,she hit the ball.
the professor talked us.,The professor spoke to us.  ,the professor talked us.
who is he reading a book that criticizes?,Who is he reading a book that criticizes?  ,who is he reading a book that criticizes?
a man to come is unlikely.,It is unlikely for a man to come.  ,a man to come is unlikely.
blue leather shows herself that betsy is pretty.,Blue leather shows that Betsy is pretty.  ,blue leather shows herself that betsy is pretty.
mary considered his to have loved her.,Mary considered his claim that he loved her.  ,mary considered his to have loved her.
truman visited yesterday you.,Truman visited you yesterday.  ,truman visited yesterday you.
"only churchill remembered churchill giving the blood, sweat and tears speech.","Only Churchill remembered Churchill giving the ""Blood, Sweat, and Tears"" speech.  ","only churchill remembered churchill giving the blood, sweat and tears speech."
